,User_Name,Tags,URL,Location,Like_Count,Datetime,Location_URL
0,0601puppy,"['#원정운동', '#브이스쿼트', '#브이스쿼트머신', '#스쿼트', '#렛풀다운', '#데드리프트', '#빛나라휘트니스', '#원할머니보쌈', '#스타벅스', '#치즈케이크', '#커피', '#디저트', '#식단또망했네', '#포기하자', '#돼지스타그램', '#운동스타그램', '#헬스타그램', '#밥스타그램', '#먹스타그램', '#기흥구청', '#기흥역', '#데일리', '#소통', '#일상', '#젝시믹스', '#애슬리트', '#운동복', '#초상권보호해드림', '#스티커처리', '#폭식증']",https://www.instagram.com/p/B5-p9G3AqZu/,기흥구,175,2019년 12월 13일,https://www.instagram.com/explore/locations/1028080334/
1,maison_de_jjung,"['#바스크치즈케이크', '#치케', '#수제디저트', '#치즈케이크', '#좋아서하는일']",https://www.instagram.com/p/B6VEUOZg_IA/,울산광역시 울주군 범서읍,7,2019년 12월 21일,https://www.instagram.com/explore/locations/241267625/
2,needs_m,"['#니즈유', '#니즈유마카롱', '#영등포마카롱', '#신길마카롱', '#대방동마카롱', '#먹스타그램', '#맛스타그램', '#마카롱', '#마카롱그램', '#마카롱투어', '#마카롱맛집', '#마카롱추천', '#인생마카롱', '#디저트그램', '#카페투어', '#간식스타그램', '#베이킹그램', '#빵순이', '#레드벨벳쿠키', '#노량진마카롱', '#베이킹클래스', '#마카롱원데이클래스', '#여의도마카롱', '#뚱카롱', '#마카롱택배', '#마카롱케이크', '#생화케이크', '#숫자케이크', '#치즈케이크']",https://www.instagram.com/p/B59Y6fplnLc/,니즈유,34,2019년 12월 12일,https://www.instagram.com/explore/locations/1667410730142647/
3,jmmmmmr,"['#피자몰', '#치케']",https://www.instagram.com/p/B6KI8f1l3Gh/,부산 광안리,44,2019년 12월 17일,https://www.instagram.com/explore/locations/254561497/
4,__kohyerim,"['#12월25일', '#크리스마스', '#킹크랩', '#채끝스테이크', '#부채살스테이크', '#소세지', '#큐브치즈', '#치즈케이크', '#와인', '#레몬소주', '#럽스타그램']",https://www.instagram.com/p/B6hkqzkhuXw/,Merry Christmas,148,2019년 12월 26일,https://www.instagram.com/explore/locations/472060986/merry-christmas/
5,min_____j,"['#홈파티', '#럼주', '#brugal', '#중국당면', '#떡볶이', '#만두', '#닭가슴살', '#계란추가', '#송주불냉면매운양념', '#김치', '#팔도비빔장', '#존맛탱ㅠ', '#자취음식', '#나를위한시간', '#나를위한만찬', '#아이파베스', '#치즈케이크', '#직장인스타그램']",https://www.instagram.com/p/B6BGzmdA6Z8/,우리집,48,2019년 12월 14일,https://www.instagram.com/explore/locations/503113989703808/
6,hys0_0,[],https://www.instagram.com/p/B6oApmOli5G/,쿠오레에스프레소 수원,31,2019년 12월 29일,https://www.instagram.com/explore/locations/429171317668810/
7,miinii_uu,"['#숙대입구역', '#후암동카페', '#헤이진카페', '#치즈케이크', '#아메리카노', '#차', '#이야기시간', '#HeyJin', '#cafe']",https://www.instagram.com/p/B579l3lHpUP/,"Seoul, South Korea",19,2019년 12월 12일,https://www.instagram.com/explore/locations/745256841/seoul-south-korea/
8,cafe_in_namoe,"['#카페인나뫼', '#카페인나뫼', '#카페나뫼', '#나뫼', '#남외동카페', '#울산카페', '#커피', '#병영카페', '#명촌카페', '#진장동카페', '#소프트아이스크림', '#시오코나스콘', '#치즈케이크', '#중구카페', '#바스크치즈케이크', '#남외초등학교', '#남외중학교', '#맘스병원', '#동천동강병원', '#동천체육관', '#정지말공원', '#비스코티', '#딸기시리즈', '#드립백']",https://www.instagram.com/p/B6juH7OFdtZ/,남외동,28,2019년 12월 27일,https://www.instagram.com/explore/locations/697340844/
9,qu_dable,[],https://www.instagram.com/p/B6hMpXUHBNI/,Dongdaemun District,44,2019년 12월 26일,https://www.instagram.com/explore/locations/352390536/dongdaemun-district/
10,mmaengac,"['#박인태커피', '#고성', '#고성카페', '#카페', '#카페투어', '#카페그램', '#카페스타그램', '#디저트', '#디저트카페', '#커피', '#커피그램', '#카페라떼', '#coffee', '#cafe', '#치즈케이크', '#주말', '#일상', '#일상스타그램', '#일상소통', '#카페투어', '#커피그램', '#cheesecake', '#cafelatte', '#latte', '#여행']",https://www.instagram.com/p/B6E6O3TlPSv/,박인태coffee,10,2019년 12월 15일,https://www.instagram.com/explore/locations/2108938412716274/coffee/
11,ming_.stagram,"['#공릉', '#파브', '#cake', '#pumpkin', '#gateau', '#dessert', '#pavcoffee', '#latte', '#cheesecake', '#foodporn', '#foodpic', '#yummy', '#meiko디저트', '#디저트', '#케이크', '#단호박', '#치즈케이크', '#카페', '#라떼', '#맛있다']",https://www.instagram.com/p/B6UUs00lGsm/,경춘선숲길,38,2019년 12월 21일,https://www.instagram.com/explore/locations/447015815658032/
12,j.yuminee,"['#명동성당앞', '#비스트로74', '#라구파스타', '#돼지고기바질라이스', '#치즈케이크', '#명동맛집', '#점심밥', '#맛스타그램', '#먹스타그램', '#일상']",https://www.instagram.com/p/B6qFeo0BVCu/,비스트로74 - Bistro74,17,2019년 12월 29일,https://www.instagram.com/explore/locations/959341794/74-bistro74/
13,hwanithree,"['#제리치즈케이크', '#졸귀', '#톰과제리', '#동화', '#스리화니', '#화니스리', '#건대역카페', '#건대카페', '#건대맛집', '#존예', '#예쁜카페', '#치즈케이크', '#휴일', '#주말']",https://www.instagram.com/p/B6qMdm3A3v9/,서울 건대입구,6,2019년 12월 29일,https://www.instagram.com/explore/locations/507026648/
14,dear_eem,"['#젤라티젤라티', '#딸기', '#치즈케이크', '#민초', '#피스타치오']",https://www.instagram.com/p/B6aoYIUBEOp/,파미에스테이션,54,2019년 12월 23일,https://www.instagram.com/explore/locations/487831924/
15,ato_haru,"['#카페데이트', '#마호가니', '#마호가니커피', '#연희동카페', '#연남동카페', '#데이트', '#럽스타그램', '#부부그램', '#연남동데이트', '#연희동데이트', '#치즈케이크', '#좋아여', '#크림치즈케이크', '#좋아요', '#좋반', '#데일리', '#맞팔', '#선팔', '#fff', '#인친', '#소통', '#데일리', '#food', '#foodgram']",https://www.instagram.com/p/B6pXMn7lkkI/,마호가니,17,2019년 12월 29일,https://www.instagram.com/explore/locations/1018924428/
16,0930b,"['#김선태백민정홈', '#크리스마스', '#특별할것없는하루', '#우리집', '#연년생', '#연년생남매', '#크리스마스케이크', '#치즈케이크', '#사랑해', '#육아', '#소통', '#육아스타그램']",https://www.instagram.com/p/B6hafQ8FQkM/,차암동 E편한세상2차,25,2019년 12월 26일,https://www.instagram.com/explore/locations/1773248009658348/e2/
17,joyouscake,[],https://www.instagram.com/p/B52l2f3nNWF/,"Busan, South Korea",17,2019년 12월 9일,https://www.instagram.com/explore/locations/287620626/busan-south-korea/
18,coffee_baum,"['#커피바움', '#전주커피바움', '#커피', '#coffeebaum', '#첫줄', '#전주여행', '#lifestyle', '#일상', '#좋아요', '#좋반', '#전주혁신도시맛집', '#혁신도시', '#커피맛집', '#라떼맛집', '#그림맛집', '#전주혁신도시카페', '#디저트', '#전주카페', '#전주혁신도시', '#전주혁신', '#아메리카노', '#라떼', '#치즈케이크', '#스콘', '#스콘맛집', '#수제디져트', '#소잘라떼', '#락토프리']",https://www.instagram.com/p/B56jBcjlJre/,Jeonju,30,2019년 12월 11일,https://www.instagram.com/explore/locations/245713997/jeonju/
19,kimmyunghee712,"['#주말마지막밤', '#가족스타그램', '#치즈케이크', '#이영커피']",https://www.instagram.com/p/B6F3P0ejAcF/,별내카페거리,24,2019년 12월 15일,https://www.instagram.com/explore/locations/732550745/
20,madol2,"['#톰과제리', '#치즈케이크', '#전포리']",https://www.instagram.com/p/B6knCwflQeg/,전포동,11,2019년 12월 27일,https://www.instagram.com/explore/locations/257726078/
21,sj_e_jang,"['#따뜻해', '#예뻐', '#크리스마스', '#셀프김밥', '#치즈케이크', '#딸기', '#아이스와인', '#스테이크', '#아스파라거스', '#메리크리스마스', '#출근하기싫다']",https://www.instagram.com/p/B6gEk7JFh0y/,우리집,25,2019년 12월 26일,https://www.instagram.com/explore/locations/1013998947/
22,cafe_de_lamour,"['#치즈케이크', '#딸기포인트', '#크림치즈케이크', '#수제케이크', '#크리스마스엔', '#카페드라무', '#맛있는카페', '#분위기좋은카페', '#마곡카페', '#강서구카페', '#발산역카페', '#양천향교역카페', '#양천향교카페']",https://www.instagram.com/p/B6XVf3bBxMh/,마곡지구,10,2019년 12월 22일,https://www.instagram.com/explore/locations/341224882/
23,koheunseol,[],https://www.instagram.com/p/B6F-12cFbQJ/,Cafe de 220volt - 춘천,41,2019년 12월 15일,https://www.instagram.com/explore/locations/340313523413725/cafe-de-220volt-/
24,cafe.iam.autumn,[],https://www.instagram.com/p/B6Zl6nkJ9kx/,I Am Autumn,149,2019년 12월 23일,https://www.instagram.com/explore/locations/135284330516331/i-am-autumn/
25,junghee0383,"['#마카롱', '#세종시마카롱', '#새롬동카페', '#마카롱맛집', '#예쁜카페', '#두헤브마카롱', '#커피숍', '#새롬동카페', '#마카롱', '#예쁜카페', '#좌식테이블카페', '#세종시마카롱', '#커피맛좋은카페', '#치즈케이크', '#수제디저트', '#수제마카롱', '#머랭쿠키', '#세종시머랭쿠키', '#스콘', '#새롬동마카롱', '#슈', '#에끌레어', '#그래놀라', '#영양간식', '#마들렌', '#티라미수']",https://www.instagram.com/p/B6cQnmmFkUW/,세종시 새롬동,13,2019년 12월 24일,https://www.instagram.com/explore/locations/1503173289705910/
26,cafe_sonane,[],https://www.instagram.com/p/B6e2xPzjNfq/,소나네,59,2019년 12월 25일,https://www.instagram.com/explore/locations/434744897001601/
27,moonaday,"['#드립커피', '#디저트카페', '#봉담카페', '#화성카페', '#수원카페추천', '#봉담카페추천', '#분위기좋은카페', '#화성카페추천', '#딸기치즈케이크', '#딸기케이크', '#치케', '#치즈케이크', '#테린느', '#치즈테린느', '#딸기라떼', '#디저트그램', '#카페스타그램', '#추천카페', '#카페투어', '#공방데이트', '#가죽공방', '#커플데이트코스', '#카드지갑', '#키링제작', '#커플지갑', '#커플키링', '#봉담cgv맛집', '#주문제작']",https://www.instagram.com/p/B6HLeQCpvt_/,여긴 경기도 화성시 봉담읍,24,2019년 12월 16일,https://www.instagram.com/explore/locations/459508438/
28,mmscoffee,[],https://www.instagram.com/p/B59osWGgogb/,MMS Coffee,44,2019년 12월 12일,https://www.instagram.com/explore/locations/2167114546922002/mms-coffee/
29,yunayuri_bakery,"['#유나유리베이커리', '#빵집', '#자매빵집', '#시오빵', '#메론빵', '#빵스타그램', '#굽스타그램', '#부산빵집', '#빵', '#온천천', '#부산', '#안락동', '#빵순이', '#빵돌이', '#식빵맛집', '#시오빵', '#메론빵', '#탕종식빵', '#크리스마스', '#슈톨렌', '#크리스마스케이크', '#치즈케이크', '#christmas', '#생크림케이크', '#초코케이크']",https://www.instagram.com/p/B6cT9kTJ51R/,"Busan, South Korea",46,2019년 12월 24일,https://www.instagram.com/explore/locations/287620626/busan-south-korea/
