,count,word
0,9,#향리단스콘
1,10,#향남맛집
2,46,#스콘
3,26,#스콘맛집
4,9,#화성카페
5,10,#향남카페
6,10,#수원카페
7,10,#동탄카페
8,9,#봉담카페
9,9,#스콘카페
10,28,#밀크티
11,16,#레몬케이크
12,21,#파운드케이크
13,26,#온더테이블
14,107,#카페투어
15,27,#신상카페
16,17,#휘낭시에
17,871,#치즈케이크
18,34,#브라우니
19,46,#딸기
20,12,#요거트
21,7,#그릭요거트
22,1,#대기20분
23,1,#줄줄이소세지
24,4,#하와이
25,1,#하와이신혼여행
26,1,#하와이맛집
27,8,#치즈케이크팩토리
28,1,#오늘도맥주
29,1,#피곤터짐
30,1,#takeout
31,2,#코흘리게
32,1,#못생긴
33,1,#나의중학생시절
34,1,#기억하는사람
35,1,#16년지기
36,1,#고니
37,1,#선우
38,1,#너도나도
39,2,#헤헤
40,1,#내년도역시잘부탁한다
41,1,#인사이드커피
42,2,#여기
43,1,#맛깡패
44,28,#커피맛집
45,2,#아이스크림맛집
46,1,#케이크까지맛집
47,1,#다맛있으면어째
48,1,#반칙일세
49,1,#창원대
50,84,#카페스타그램
51,2,#우유아이스크림
52,11,#창원카페
53,27,#카페추천
54,4,#마산
55,4,#창원
56,3,#마산카페
57,42,#소통
58,4,#기록
59,4,#일상기록
60,2,#월요일
61,4,#모닝커피
62,2,#커피빈
63,1,#셋이아닌둘이서
64,11,#커피스타그램
65,23,#일상스타그램
66,1,#가람커피로스터스
67,6,#케잌
68,3,#치즈케익팩토리
69,1,#치팩케잌
70,2,#본마을
71,1,#가람커피로스터스로
72,1,#청계산카페
73,7,#로스터리카페
74,1,#여의천
75,1,#자전거길카페
76,1,#여의천카페
77,1,#여의천자전거길
78,1,#내곡동
79,1,#내곡동카페
80,1,#내곡동맛집
81,1,#신원동
82,1,#신원동카페
83,1,#본마을카페
84,18,#스페셜티커피
85,1,#스페셜티카페
86,1,#싱글오리진
87,1,#싱글오리진커피
88,3,#필터커피
89,1,#가람커피
90,1,#가람로스터스
91,1,#가람커피로스터즈
92,4,#덴켄
93,8,#공릉동카페
94,6,#공릉
95,5,#공릉동
96,8,#공릉카페
97,8,#공트럴파크
98,5,#공트럴파크카페
99,5,#공리단길
100,5,#공리단길카페
101,18,#쿠키
102,6,#수제쿠키
103,4,#초코녹차케이크
104,4,#라떼아트
105,5,#노원카페
106,5,#초코브라우니
107,5,#노원
108,6,#노원구
109,4,#신상카페추천
110,172,#카페
111,77,#커피
112,5,#덴켄카페
113,5,#카페덴켄
114,3,#cafedenken
115,3,#덴켄커피
116,24,#딸기라떼
117,2,#trevary
118,4,#c27cheesecakeandcoffee
119,11,#c27
120,1,#씨이십칠본점
121,4,#신사동
122,2,#신사동카페
123,3,#카페타임
124,16,#커피숍
125,1,#taichung
126,77,#coffee
127,49,#dessert
128,1,#bluemonday
129,2,#mild
130,11,#홍대카페
131,14,#서울
132,2,#홍대입구
133,15,#서울카페
134,3,#카푸치노
135,33,#메리크리스마스
136,28,#크리스마스이브
137,1,#아티제
138,1,#성심당
139,1,#빵선물
140,16,#merrychristmas
141,1,#크리스마스장식
142,4,#크리스마스케익
143,3,#크리스마스트리
144,43,#크리스마스케이크
145,1,#크리스마스트리장식
146,1,#광교아브뉴프랑아티제
147,1,#광교아브뉴프랑맛집
148,2,#집스타그램
149,2,#케익주문
150,15,#빵스타그램
151,3,#유달리
152,3,#안산유달리
153,3,#유달리안산점
154,3,#카페유달리
155,4,#안산맛집
156,3,#고잔동맛집
157,10,#와플맛집
158,3,#안산와플
159,15,#와플
160,3,#안산카페
161,3,#고잔동카페
162,4,#안산
163,3,#고잔동
164,4,#톰과제리케이크
165,6,#제리케이크
166,29,#제리치즈케이크
167,3,#하프파운드
168,6,#헬로멜로옐로
169,6,#작은케익카페
170,6,#부산대
171,6,#부산대카페
172,80,#디저트카페
173,44,#부산카페
174,6,#부산디저트카페
175,6,#부산대디저트
176,7,#초코쿠키
177,6,#부산쿠키세트
178,6,#부산수제쿠키
179,6,#부산케이크맛집
180,7,#부산예쁜카페
181,6,#hellomellowyellow
182,6,#부산주문케이크
183,24,#다쿠아즈
184,6,#프레첼머랭
185,6,#몽블랑
186,8,#딸기생크림
187,1,#와인무화과마카롱
188,76,#마카롱
189,28,#세종시마카롱
190,28,#새롬동카페
191,39,#마카롱맛집
192,37,#예쁜카페
193,14,#두헤브마카롱
194,14,#좌식테이블카페
195,14,#커피맛좋은카페
196,24,#수제디저트
197,14,#수제마카롱
198,15,#머랭쿠키
199,14,#세종시머랭쿠키
200,14,#새롬동마카롱
201,14,#슈
202,14,#에끌레어
203,15,#그래놀라
204,14,#영양간식
205,30,#마들렌
206,40,#티라미수
207,1,#결혼
208,2,#결혼기념일
209,1,#1주년
210,2,#결혼한지
211,1,#365일
212,1,#뜻밖에선물
213,83,#케이크
214,1,#초코이름
215,1,#사랑한지
216,1,#1178
217,1,#365
218,1,#결혼한지1년
219,1,#축하해주셔서감사합니다
220,3,#감동
221,1,#감동감동
222,1,#소라스타그램
223,2,#부부스타그램
224,15,#럽스타그램
225,1,#부부
226,1,#주부
227,1,#새댁
228,2,#꽃다발
229,1,#장미꽃
230,2,#압구정
231,1,#차이티
232,46,#맞팔
233,31,#팔로우
234,6,#데일리룩
235,24,#좋아요반사
236,1,#죽전까페
237,2,#오브레드
238,1,#죽전디저트
239,1,#죽전디저트까페
240,13,#스윗레시피
241,3,#설빙
242,2,#구리설빙
243,2,#갈매설빙
244,12,#사진
